"country","capital","lon","lat","distance_km"
"Algeria","Algiers",3.0588,36.7538,8482.20891860173
"Argentina","Buenos Aires",-58.3816,-34.6037,8705.32073782995
"Australia","Canberra",149.13,-35.2809,14208.570743371
"Austria","Vienna",16.3738,48.2082,8606.32573281531
"Belgium","Brussels",4.3517,50.8503,7727.79246900279
"Bosnia and Herzegovina","Sarajevo",18.4131,43.8563,9039.79148457277
"Brazil","Brasilia",-47.8828,-15.7939,7627.81394850343
"Cabo Verde","Praia",-23.5133,14.933,7512.38760065041
"Canada","Ottawa",-75.6972,45.4215,2076.70971215557
"Colombia","Bogota",-74.0721,4.711,4083.35144185279
"Croatia","Zagreb",15.9819,45.815,8752.38397741941
"Curaçao","Willemstad",-68.8824,12.1224,3763.22986609397
"Czechia","Prague",14.4378,50.0755,8366.60381686275
"Côte d'Ivoire","Yamoussoukro",-5.2893,6.8276,9668.08898024859
"DR Congo","Kinshasa",15.2663,-4.4419,12254.9481799942
"Ecuador","Quito",-78.4678,-0.1807,4344.44138844169
"Egypt","Cairo",31.2357,30.0444,10930.47689853
"England","London",-0.1278,51.5074,7419.38157845681
"France","Paris",2.3522,48.8566,7716.89007042681
"Germany","Berlin",13.405,52.52,8145.23901627558
"Ghana","Accra",-0.187,5.6037,10207.6643198777
"Haiti","Port-au-Prince",-72.3074,18.5944,2992.61832964656
"Iran","Tehran",51.389,35.6892,11466.8872789223
"Iraq","Baghdad",44.3661,33.3152,11380.6286039912
"Japan","Tokyo",139.6503,35.6762,10253.2772709711
"Jordan","Amman",35.9106,31.9539,11049.7746680902
"Mexico","Mexico City",-99.1332,19.4326,1772.09282552517
"Morocco","Rabat",-6.8416,34.0209,7879.31109585282
"Netherlands","Amsterdam",4.9041,52.3676,7674.16224181129
"New Zealand","Wellington",174.7756,-41.2866,12428.7703514905
"Norway","Oslo",10.7522,59.9139,7544.33782250066
"Panama","Panama City",-79.5199,8.9824,3372.98080596662
"Paraguay","Asuncion",-57.5759,-25.2637,7862.11970605176
"Portugal","Lisbon",-9.1393,38.7223,7447.15699267047
"Qatar","Doha",51.531,25.2854,12501.9486509173
"Saudi Arabia","Riyadh",46.6753,24.7136,12312.3705610737
"Scotland","Edinburgh",-3.1883,55.9533,7023.12688783878
"Senegal","Dakar",-17.4677,14.7167,8073.93892367019
"South Africa","Pretoria",28.2293,-25.7479,14675.1995548275
"South Korea","Seoul",126.978,37.5665,10794.7736854239
"Spain","Madrid",-3.7038,40.4168,7767.63783811332
"Sweden","Stockholm",18.0686,59.3293,7918.21118636763
"Switzerland","Bern",7.4474,46.948,8151.78245122139
"Tunisia","Tunis",10.1815,36.8065,8995.23234677214
"Turkey","Ankara",32.8597,39.9334,10184.1775843228
"United States","Washington D.C.",-77.0369,38.9072,1753.70506532833
"Uruguay","Montevideo",-56.1645,-34.9011,8839.80672556325
"Uzbekistan","Tashkent",69.2401,41.2995,11399.3259282939
